City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,mtwara,-10.2667,40.1833,26.66,85,100,5.41,TZ,1738787661
82,lobujya,27.95,86.8167,-14.69,14,0,1.49,NP,1738787662
83,ushuaia,-54.8,-68.3,12.81,54,40,2.06,AR,1738787663
84,kingston,17.997,-76.7936,32.53,46,20,2.06,JM,1738787665
85,port mathurin,-19.6833,63.4167,26.98,78,3,3.06,MU,1738787666
86,troy,42.6056,-83.1499,-2.9,70,0,2.06,US,1738787667
87,badger,64.8,-147.5333,-10.01,87,100,0.0,US,1738787668
88,tazacorte,28.629,-17.9293,17.54,71,40,4.63,ES,1738787669
89,ati,13.2154,18.3353,24.69,13,70,5.81,TD,1738787670
90,okahao,-17.885,15.0667,20.54,80,100,5.91,NA,1738787671
91,pangai,-19.8,-174.35,27.06,83,75,4.63,TO,1738787672
92,enewetak,11.3474,162.3373,26.94,73,100,7.5,MH,1738787673
93,cherkessk,44.2233,42.0578,-2.81,87,99,6.35,RU,1738787675
94,uturoa,-16.7333,-151.4333,28.02,73,80,5.69,PF,1738787676
95,puerto baquerizo moreno,-0.9,-89.6,30.55,58,20,6.17,EC,1738787677
96,summerside,46.3959,-63.7876,-13.93,51,92,7.72,CA,1738787678
97,minusinsk,53.7103,91.6875,-13.99,100,75,1.26,RU,1738787404
98,marshalltown,42.0494,-92.908,-2.65,88,100,7.72,US,1738787409
99,lihue,21.9789,-159.3672,23.77,69,40,3.6,US,1738787681
100,carnarvon,-24.8667,113.6333,26.12,77,3,6.38,AU,1738787682
101,qaqortoq,60.7167,-46.0333,-21.73,83,4,2.5,GL,1738787683
102,west island,-12.1568,96.8225,27.99,89,20,5.66,CC,1738787685
103,flying fish cove,-10.4217,105.6791,26.82,94,100,6.17,CX,1738787686
104,timmins,48.4669,-81.3331,-9.1,41,75,5.14,CA,1738787687
105,san antonio de pale,-1.4014,5.6325,27.47,80,100,3.47,GQ,1738787688
106,olonkinbyen,70.9221,-8.7187,-1.5,78,70,11.2,SJ,1738787689
107,yorkton,51.2167,-102.4677,-16.09,78,100,1.54,CA,1738787402
108,carbonear,47.7332,-53.2148,-7.7,73,99,8.76,CA,1738787692
109,tiksi,71.6872,128.8694,-29.8,97,100,3.32,RU,1738787693
110,outjo,-20.1167,16.15,18.69,93,100,4.4,NA,1738787694
111,acapulco de juarez,16.8634,-99.8901,28.9,65,0,5.14,MX,1738787567
112,buenaventura,3.8801,-77.0312,29.06,79,40,3.6,CO,1738787697
113,guerrero negro,27.9769,-114.0611,18.07,60,0,6.78,MX,1738787698
114,klyuchi,52.2667,79.1667,-16.1,84,5,5.01,RU,1738787699
115,djibo,14.1022,-1.6306,27.55,14,100,4.07,BF,1738787700
116,karasburg,-28.0167,18.75,24.36,33,100,6.03,NA,1738787702
117,stanley,54.868,-1.6985,1.4,88,0,2.06,GB,1738787703
118,padang,-0.9492,100.3543,24.03,87,94,1.91,ID,1738787704
119,gargalianoi,37.0667,21.6333,8.59,76,0,1.42,GR,1738787705
120,dahlonega,34.5326,-83.9849,22.73,65,100,1.48,US,1738787707
121,tobruk,32.0836,23.9764,13.73,64,100,7.78,LY,1738787708
122,blackmans bay,-43.0167,147.3167,10.85,84,61,1.61,AU,1738787709
123,katoomba,-33.7198,150.3074,16.03,95,50,0.49,AU,1738787710
124,abaete,-19.16,-45.4458,25.97,64,83,1.02,BR,1738787711
125,tura,25.5198,90.2201,15.55,62,0,1.85,IN,1738787712
126,kharovsk,59.9642,40.1912,-2.98,95,100,1.84,RU,1738787713
127,nemuro,43.3236,145.575,-0.3,74,9,10.63,JP,1738787701
128,kodiak,57.79,-152.4072,-4.27,86,0,0.0,US,1738787716
129,mahina,-17.5065,-149.489,30.87,66,40,3.6,PF,1738787717
130,novodvinsk,64.4165,40.8122,-6.14,90,100,4.83,RU,1738787718
131,puerto ayora,-0.7393,-90.3518,26.42,92,17,2.24,EC,1738787719
132,punta arenas,-53.15,-70.9167,16.06,36,0,7.2,CL,1738787703
133,kourou,5.1552,-52.6478,25.01,93,93,2.96,GF,1738787721
134,el calafate,-50.3408,-72.2768,14.4,47,56,3.28,AR,1738787722
135,chonchi,-42.6128,-73.8092,18.95,62,75,3.41,CL,1738787723
136,aswan,24.0934,32.907,17.61,36,0,2.06,EG,1738787724
137,wailua homesteads,22.0669,-159.378,23.44,78,40,3.6,US,1738787726
138,rayevskiy,54.0658,54.9468,-11.82,90,62,1.11,RU,1738787727
139,tralee,52.2704,-9.7026,3.49,86,1,1.97,IE,1738787728
140,touros,-5.1989,-35.4608,27.45,75,100,4.91,BR,1738787729
141,coahuayana de hidalgo,18.7,-103.6583,30.87,50,0,3.05,MX,1738787730
142,qingdao,36.0986,120.3719,-8.22,67,0,1.0,CN,1738787570
143,alofi,-19.0595,-169.9187,26.94,83,100,4.12,NU,1738787732
144,anadyr,64.75,177.4833,-37.72,74,0,4.0,RU,1738787733
145,vorgashor,67.5833,63.95,-13.95,98,98,3.2,RU,1738787734
146,bumba,2.1833,22.4667,26.9,51,86,1.21,CD,1738787736
147,geraldton,-28.7667,114.6,22.23,88,75,2.06,AU,1738787738
148,sinabang,2.4803,96.3801,26.14,83,96,1.48,ID,1738787739
149,kailua-kona,19.6406,-155.9956,25.98,62,75,2.57,US,1738787740
150,selfoss,63.9331,-20.9971,5.58,81,100,20.59,IS,1738787741
151,kushnarenkovo,55.105,55.3508,-10.12,86,88,1.73,RU,1738787742
152,vadso,70.0744,29.7487,-3.91,86,75,9.26,NO,1738787743
153,kyabe,9.4515,18.9449,30.38,14,100,3.01,TD,1738787744
154,al kharijah,25.4514,30.5464,14.66,44,86,3.52,EG,1738787746
155,pisco,-13.7,-76.2167,26.03,69,0,6.17,PE,1738787747
156,pozo alcon,37.7026,-2.9337,6.97,48,0,1.8,ES,1738787748
157,westport,41.1415,-73.3579,1.29,38,0,5.14,US,1738787749
158,suva,-18.1416,178.4415,24.71,100,75,1.54,FJ,1738787750
159,beoumi,7.6736,-5.5764,27.68,21,54,0.78,CI,1738787751
160,saint-philippe,-21.3585,55.7679,27.59,82,37,4.75,RE,1738787752
161,olyokminsk,60.3736,120.4264,-40.7,100,87,0.53,RU,1738787753
162,sofifi,0.7349,127.576,26.24,87,100,2.12,ID,1738787754
163,balabac,7.9868,117.0645,25.7,85,100,4.28,PH,1738787756
164,dunedin,-45.8742,170.5036,11.56,98,97,0.89,NZ,1738787757
165,khovd,48.0056,91.6419,-17.33,61,0,3.12,MN,1738787758
166,barranca,-10.75,-77.7667,23.75,71,91,3.55,PE,1738787759
167,chul'man,56.8479,124.9104,-35.64,100,99,1.42,RU,1738787760
168,portrush,55.1959,-6.6493,5.83,70,13,2.68,GB,1738787761
169,pajok,3.8651,32.4821,25.58,27,100,1.81,SS,1738787762
170,grand falls-windsor,48.9332,-55.6649,-12.5,59,94,3.58,CA,1738787763
171,fort bragg,35.139,-79.006,12.73,55,100,4.63,US,1738787478
172,vilyuysk,63.7553,121.6247,-45.71,100,62,1.39,RU,1738787765
173,minas de marcona,-15.2119,-75.1103,22.13,64,93,6.55,PE,1738787767
174,malemort-sur-correze,45.1701,1.5619,3.97,82,10,1.98,FR,1738787768
175,bandirma,40.3522,27.9767,4.01,65,75,7.72,TR,1738787769
176,weno,7.4515,151.8468,27.97,83,100,3.6,FM,1738787770
